Selling_Price,Present_Price,Kms_Driven,Owner,no_year,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
0.89,6.60,90000,1,15,0,1,1,1
1.70,6.46,90000,1,10,1,0,1,1
10.90,11.66,16500,0,1,0,1,0,1
11.00,14.36,67000,0,3,1,0,1,0
6.10,7.96,52000,0,2,0,1,0,1
3.35,4.78,40000,0,4,0,1,0,1
4.35,6.21,40000,0,5,0,1,0,1
30.00,42.80,35000,0,2,1,0,1,1
3.90,5.56,13000,0,2,0,1,0,1
3.25,4.64,40000,0,8,0,1,0,1
6.40,6.84,10000,0,1,0,1,0,1
4.50,4.81,9000,0,8,0,1,0,1
4.00,8.70,70000,1,7,1,0,0,1
2.15,9.34,60000,0,11,0,1,0,1
5.70,11.09,40000,0,6,1,0,0,1
6.80,13.23,93000,0,8,1,0,0,1
3.25,16.14,80000,2,12,1,0,1,1
1.50,4.99,50000,1,9,0,1,1,1
6.90,15.00,68000,0,7,0,1,0,0
15.50,33.70,25000,0,7,1,0,1,0
0.64,1.39,18000,0,8,0,1,0,1
2.50,5.43,120000,0,7,1,0,1,1
0.65,4.82,35000,0,15,0,1,1,1
5.50,7.85,60000,1,4,1,0,1,1
1.40,5.32,70000,2,10,0,1,1,1
3.00,4.28,30000,0,4,0,1,1,1
8.00,11.41,70000,0,4,0,1,1,0
26.25,34.27,9000,0,3,1,0,0,0
51.50,55.08,20000,0,1,0,1,0,0
32.00,41.77,45000,0,3,1,0,0,0
5.03,6.57,110000,0,5,1,0,1,1
38.00,40.64,20000,0,1,1,0,1,0
20.00,28.53,68089,0,4,0,1,0,0
2.25,4.89,58343,0,7,0,1,0,1
7.40,16.09,38817,0,2,1,0,0,1
5.50,7.85,56494,0,4,0,1,0,1
7.50,16.30,79328,1,7,1,0,0,1
6.50,6.95,5621,0,1,0,1,0,0
6.25,8.16,25538,0,3,0,1,0,1
6.00,7.83,69779,0,2,0,1,0,0
4.50,5.87,56290,0,3,1,0,0,1
54.00,57.75,7500,0,1,1,0,0,0
55.00,58.82,8500,0,1,1,0,0,0
7.79,8.33,7032,0,1,0,1,0,0
6.45,9.20,11000,0,4,0,1,0,0
24.75,35.31,2000,0,2,1,0,0,0
1.50,5.70,106000,2,10,0,1,1,1
5.00,21.72,120000,1,11,0,1,1,0
4.80,20.85,90000,0,5,1,0,1,1
5.35,10.41,70000,2,6,1,0,1,1
2.50,18.53,240000,2,15,1,0,1,1
3.00,22.23,100000,1,8,1,0,1,1
3.40,14.77,214000,1,11,0,1,1,1
3.40,14.77,214000,1,11,1,0,1,1
2.40,3.42,50000,0,4,0,1,1,1
10.85,15.48,1000,0,2,0,1,1,0
7.50,9.79,19000,0,3,1,0,1,0
0.95,1.24,265000,1,8,1,0,1,1
2.15,4.18,80000,1,6,0,1,1,1
12.90,18.40,50000,0,4,1,0,1,0
1.50,5.70,80000,0,10,0,1,1,1
2.19,4.76,50000,1,7,0,1,1,1
3.25,7.07,100000,0,2,0,1,1,1
2.60,5.65,120000,1,7,0,1,1,1
26.25,34.27,9000,0,3,1,0,0,0
51.50,55.08,20000,0,1,0,1,0,0
32.00,41.77,45000,0,3,1,0,0,0
5.03,6.57,110000,0,5,1,0,1,1
38.00,40.64,20000,0,1,1,0,1,0
20.00,28.53,68089,0,4,0,1,0,0
2.25,4.89,58343,0,7,0,1,0,1
7.40,16.09,38817,0,2,1,0,0,1
5.50,7.85,56494,0,4,0,1,0,1
7.50,16.30,79328,1,7,1,0,0,1
6.50,6.95,5621,0,1,0,1,0,0
6.25,8.16,25538,0,3,0,1,0,1
6.00,7.83,69779,0,2,0,1,0,0
4.50,5.87,56290,0,3,1,0,0,1
54.00,57.75,7500,0,1,1,0,0,0
55.00,58.82,8500,0,1,1,0,0,0
7.79,8.33,7032,0,1,0,1,0,0
6.45,9.20,11000,0,4,0,1,0,0
24.75,35.31,2000,0,2,1,0,0,0
7.00,7.49,40000,0,1,1,0,1,0
9.50,12.40,45000,0,3,1,0,1,1
1.60,6.08,80000,1,10,0,1,1,1
4.10,15.58,135000,1,5,1,0,1,1
8.40,31.93,120000,1,5,1,0,1,1
4.50,9.78,67000,0,7,1,0,1,1
9.00,11.75,50000,0,3,1,0,1,1
5.70,28.30,134000,1,12,1,0,1,1
2.55,8.48,110000,1,9,1,0,1,1
1.30,5.65,40000,0,11,0,1,1,1
5.30,11.52,120000,1,7,1,0,1,1
5.20,11.30,110000,1,5,1,0,1,1
2.30,7.65,170000,1,9,1,0,1,1
0.81,6.86,80000,1,16,0,1,1,1
6.00,8.56,47000,0,4,1,0,1,1
4.10,5.85,93000,0,5,0,1,1,1
1.20,4.56,70000,1,10,0,1,1,1
3.20,6.23,50000,0,6,0,1,1,1
2.92,5.68,70000,0,5,1,0,1,1
3.90,7.59,80000,0,8,1,0,1,1
5.50,7.85,44000,0,4,0,1,1,1
3.85,7.49,25000,0,6,0,1,1,1
8.00,11.41,25000,0,4,0,1,1,1
6.75,7.22,10000,0,1,0,1,1,1
15.25,16.31,50000,0,2,1,0,1,1
9.50,10.16,30000,0,2,1,0,1,1
6.10,6.52,50000,1,5,1,0,1,1
5.25,5.61,120000,0,8,1,0,1,1
7.00,7.49,40000,0,1,1,0,1,0
3.75,4.01,80000,0,5,1,0,1,1
5.80,6.20,90000,0,5,1,0,1,1
4.35,4.65,50000,1,5,0,1,1,1
3.50,3.50,2136,0,0,0,1,1,1
7.30,7.30,250000,0,8,1,0,1,1
6.00,6.00,35000,0,5,0,1,1,1
10.50,10.50,120000,0,5,1,0,1,1
